#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
796845	14924	154810	200129	127559	-	-	Magi1	AMOTL1	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	JEAP	Affinity Capture-Western	physical	Patrie KM (2005)	PUBMED:16019084	10090	9606	Low Throughput	-	-	-	-	BIOGRID	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	Q8IY63	A0A024R3A6	NP_570899|NP_001287936	-	-	-	-	-	-	Mus musculus	Homo sapiens
823997	14924	72058	200129	215124	-	-	Magi1	Igsf5	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	2010003D20Rik|JCAM|Jam4	Affinity Capture-Western	physical	Hirabayashi S (2003)	PUBMED:12773569	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	Q7TSN7	D3YXH1	NP_001171358|NP_082354|NP_001171357	-	-	-	-	-	-	Mus musculus	Mus musculus
1174454	10276	14924	115565	200129	RP11-116G8.1	-	NET1	Magi1	ARHGEF8|NET1A	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Protein-peptide	physical	Garcia-Mata R (2007)	PUBMED:17938206	9606	10090	Low Throughput	-	-	-	-	BIOGRID	Q7Z628	Q5SQI7|Q5SQI5	NP_005854|NP_001040625	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Homo sapiens	Mus musculus
2338568	14265	14924	199716	200129	-	-	Fmr1	Magi1	FMRP|Fmr-1	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Affinity Capture-MS	physical	Li J (2017)	PUBMED:28671696	10090	10090	High Throughput	-	-	e14	-	BIOGRID	-	Q8BPK8|Q6AXB7|E9QAT0|Q547R0|E9QNF5	NP_001277353|NP_032057	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Mus musculus	Mus musculus
2660029	69524	14924	213501	200129	-	-	Esam	Magi1	2310008D05Rik|Esam1|W117m	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Two-hybrid	physical	Wegmann F (2004)	PUBMED:15383320	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q925F2	Q3U102	NP_081378	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Mus musculus	Mus musculus
2660030	69524	14924	213501	200129	-	-	Esam	Magi1	2310008D05Rik|Esam1|W117m	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Reconstituted Complex	physical	Wegmann F (2004)	PUBMED:15383320	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q925F2	Q3U102	NP_081378	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Mus musculus	Mus musculus
2660031	69524	14924	213501	200129	-	-	Esam	Magi1	2310008D05Rik|Esam1|W117m	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Affinity Capture-Western	physical	Wegmann F (2004)	PUBMED:15383320	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q925F2	Q3U102	NP_081378	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Mus musculus	Mus musculus
2660032	14924	69524	200129	213501	-	-	Magi1	Esam	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	2310008D05Rik|Esam1|W117m	Co-localization	physical	Wegmann F (2004)	PUBMED:15383320	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	Q925F2	Q3U102	NP_081378	-	-	-	-	-	-	Mus musculus	Mus musculus
2663257	14924	14469	200129	199847	-	-	Magi1	Gbp2	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	-	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.742	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	Q9Z0E6	-	NP_034390	-	-	-	-	-	-	Mus musculus	Mus musculus
2663769	13138	14924	199048	200129	-	-	Dag1	Magi1	D9Wsu13e|DG|Dp427|Dp71	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.825	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	Q62165	Q544G5|Q8BPJ7|Q8CBE6	NP_001263421|NP_034147|NP_001263423|NP_001263422|NP_001263414|NP_001263415|NP_001263410|NP_001263411	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Mus musculus	Mus musculus
2663770	20111	14924	203014	200129	RP23-256C7.2	-	Rps6ka1	Magi1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0.691	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	P18653	E9PWV3|Q505N6|F6Q8A4|Q810V8	NP_033123|NP_001272434|NP_001272435	Q6RHR9	Q8CCP7|Q4H4B5|Q4H4B4|Q3TQ86|E9PZ12	NP_001076790|NP_001076789|NP_001273713|NP_001273717|NP_001273714|NP_001273715|NP_001025021|NP_034497	-	-	-	-	-	-	Mus musculus	Mus musculus
