#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
574670	226049	29875	230465	205938	-	-	Dmrt2	Iqgap1	Terra	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-MS	physical	Lopez de Silanes I (2010)	PUBMED:20975687	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q8BG36	-	NP_665830	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
810090	20371	29875	203183	205938	RP23-54C14.1	-	Foxp3	Iqgap1	JM2|scurfin|sf	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-MS	physical	Rudra D (2012)	PUBMED:22922362	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q99JB6	Q53Z59	NP_473380|NP_001186276|NP_001186277	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
844095	12540	29875	198627	205938	RP23-246F18.2	-	Cdc42	Iqgap1	AI747189|AU018915	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-Western	physical	Kholmanskikh SS (2006)	PUBMED:16369480	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P60766	-	NP_033991|NP_001230698	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
844097	18472	29875	202013	205938	RP23-194P5.2	-	Pafah1b1	Iqgap1	LIS-1|Lis1|MMS10-U|Mdsh|Ms10u|Pafaha	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-Western	physical	Kholmanskikh SS (2006)	PUBMED:16369480	10090	10090	Low Throughput	-	-	-	-	BIOGRID	P63005	Q5SW18	NP_038653	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
844098	29875	56430	205938	207974	-	-	Iqgap1	Clip1	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	1110007I12Rik|4631429H07Rik|AV017631|C81039|CLIP-170|CLIP170|CYLN1|Clip50|Rsn|mKIAA4046|restin	Affinity Capture-Western	physical	Kholmanskikh SS (2006)	PUBMED:16369480	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	Q922J3	D3Z3M7|F8WIA1|D3Z2Z1	NP_001278158|NP_062739	-	-	-	-	-	-	Mus musculus	Mus musculus
844099	29875	18472	205938	202013	-	RP23-194P5.2	Iqgap1	Pafah1b1	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	LIS-1|Lis1|MMS10-U|Mdsh|Ms10u|Pafaha	Affinity Capture-Western	physical	Kholmanskikh SS (2006)	PUBMED:16369480	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	P63005	Q5SW18	NP_038653	-	-	-	-	-	-	Mus musculus	Mus musculus
957573	72330	29875	215313	205938	-	-	Klhl40	Iqgap1	2310024D23Rik|Kbtbd5	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-MS	physical	Garg A (2014)	PUBMED:24960163	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q9D783	-	NP_082478	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
1065626	13626	29875	199384	205938	-	-	Eed	Iqgap1	ENSMUSG00000039373|l(7)5Rn|l7Rn5|lusk	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q921E6	-	NP_068676	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
1437897	13711	29875	199428	205938	RP23-445A5.2	-	Elf5	Iqgap1	ESE-2|ESE-5|ESE-5.	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-MS	physical	Latos PA (2015)	PUBMED:26584622	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q8VDK3	Q3ULZ4|Q3V1F7	NP_001139285|NP_034255	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
2333173	216439	29875	229744	205938	-	-	Agap2	Iqgap1	AGAP-2|Centg1|PIKE|cnt-g1|mKIAA0167	AA682088|D7Ertd237e|D7Ertd257e|mKIAA0051	Affinity Capture-MS	physical	Wilkinson B (2017)	PUBMED:28706196	10090	10090	High Throughput	-	-	Postsynaptic density (PSD) interactions	-	BIOGRID	Q3UHD9	-	NP_001287943|NP_001028435	Q9JKF1	Q3TPD2|Q3TU98	NP_057930	-	-	-	-	-	-	Mus musculus	Mus musculus
