gene,padj
ENSMUSG00000064337.1,1.226969005367612e-306
ENSMUSG00000004698.10,2.1094460224183815e-305
ENSMUSG00000022309.8,8.8236201885895465e-304
ENSMUSG00000037926.15,7.247660842373861e-301
ENSMUSG00000021699.17,2.6252559229871546e-300
ENSMUSG00000002985.16,9.189054462802765e-300
ENSMUSG00000090386.9,1.814462117248037e-299
ENSMUSG00000062078.14,2.1376759303892546e-298
ENSMUSG00000028159.14,3.7294438944407632e-298
ENSMUSG00000029925.13,7.535387844930103e-298
ENSMUSG00000017376.15,9.207248538392609e-297
ENSMUSG00000021939.7,9.30767297856227e-297
ENSMUSG00000092341.2,1.1948603815380058e-296
ENSMUSG00000064210.6,5.603848441871024e-295
ENSMUSG00000039197.9,1.2928500996065816e-294
ENSMUSG00000053819.16,2.581192807148254e-292
ENSMUSG00000006586.15,2.359264881298429e-290
ENSMUSG00000028465.16,6.400322630874537e-289
ENSMUSG00000053819.16,7.557109674864652e-288
ENSMUSG00000022952.16,7.967289138699659e-286
ENSMUSG00000029372.7,1.723663557077431e-285
ENSMUSG00000002985.16,2.0428175091964974e-283
ENSMUSG00000026737.12,3.3413939164171947e-282
ENSMUSG00000038679.16,3.1729538169110246e-281
ENSMUSG00000052336.7,4.2222600391258463e-281
ENSMUSG00000021725.8,3.9773582372254677e-280
ENSMUSG00000034663.13,1.0184373601471784e-278
ENSMUSG00000028465.16,1.4010621245615205e-278
ENSMUSG00000064339.1,1.4057776619225123e-278
ENSMUSG00000023926.7,2.6453696330709707e-278
ENSMUSG00000021725.8,3.786399877405041e-276
ENSMUSG00000027784.10,2.7731769806611786e-275
ENSMUSG00000024639.5,3.963506050329616e-275
ENSMUSG00000005611.15,8.20917251832819e-274
ENSMUSG00000053965.10,2.6241601625739054e-271
ENSMUSG00000034663.13,1.305234578673134e-270
ENSMUSG00000001930.17,6.7026116670030666e-270
ENSMUSG00000026727.10,1.6523330077735107e-269
ENSMUSG00000052336.7,4.0737272373044793e-269
ENSMUSG00000039087.16,8.86946957686744e-269
ENSMUSG00000037685.15,2.1552336065306337e-268
ENSMUSG00000052331.14,6.399045096876265e-268
ENSMUSG00000040274.11,8.781028982954837e-266
ENSMUSG00000038267.14,1.5046806265575838e-265
ENSMUSG00000036006.19,2.4870610631327135e-265
ENSMUSG00000001930.17,3.6600538720641e-265
ENSMUSG00000020176.17,9.458099857788605e-264
ENSMUSG00000031543.18,4.801973040068883e-262
ENSMUSG00000022377.16,2.1833409171731036e-261
ENSMUSG00000064210.6,1.6433980667281036e-260
ENSMUSG00000105361.1,1.9085429106113855e-260
ENSMUSG00000033721.16,4.8384446337003645e-260
ENSMUSG00000090386.9,7.627599060476478e-259
ENSMUSG00000034663.13,1.0585496399335219e-258
ENSMUSG00000064363.1,1.401047177417013e-258
ENSMUSG00000062078.14,6.455337571102666e-257
ENSMUSG00000049775.16,7.096294175311483e-257
ENSMUSG00000031453.16,2.5465597464452913e-255
ENSMUSG00000025810.9,1.6542167555447245e-254
ENSMUSG00000038267.14,1.7781082745409685e-253
ENSMUSG00000025810.9,3.561405337170171e-251
ENSMUSG00000028649.17,2.5133998926116234e-250
ENSMUSG00000053477.16,1.4487575688880218e-249
ENSMUSG00000075415.13,1.6093225433065998e-249
ENSMUSG00000021061.15,6.76348980635089e-249
ENSMUSG00000027009.18,3.377726426490427e-247
ENSMUSG00000026395.16,9.69537100744749e-247
ENSMUSG00000049775.16,1.1023027611356334e-246
ENSMUSG00000025889.13,2.184230991937386e-246
ENSMUSG00000030199.16,3.706462497345022e-246
ENSMUSG00000052331.14,2.915633497864864e-245
ENSMUSG00000021065.15,4.1890932409981955e-244
ENSMUSG00000024985.18,6.929532714250318e-244
ENSMUSG00000034574.9,1.56107897530945e-242
ENSMUSG00000034613.12,2.0387612267225176e-242
ENSMUSG00000043940.15,5.554657864240497e-242
ENSMUSG00000017376.15,2.391452480526178e-239
ENSMUSG00000065954.11,8.92963437868098e-239
ENSMUSG00000060429.11,2.5859425021004706e-238
ENSMUSG00000026395.16,3.5201093221562586e-238
ENSMUSG00000034613.12,1.9717469792175935e-237
ENSMUSG00000060429.11,9.757806441801278e-237
ENSMUSG00000001930.17,1.8171734190777508e-235
ENSMUSG00000031453.16,2.6124407481859345e-235
ENSMUSG00000061751.15,5.244819957440823e-230
ENSMUSG00000021391.9,7.012694469299487e-230
ENSMUSG00000030067.17,4.168212013488261e-229
ENSMUSG00000014361.5,1.5075220342647018e-226
ENSMUSG00000030560.17,1.6358867796344845e-225
ENSMUSG00000021676.9,2.205152983678587e-225
ENSMUSG00000022378.13,5.605364498762807e-222
ENSMUSG00000022443.16,6.566407955164942e-222
ENSMUSG00000003992.14,3.0946391757923645e-218
ENSMUSG00000014361.5,4.94728165035563e-218
ENSMUSG00000037940.17,1.819382462525219e-217
ENSMUSG00000002997.15,3.0465395063419482e-217
ENSMUSG00000024456.16,1.1691921506272641e-216
ENSMUSG00000044033.16,1.5232999994158697e-216
ENSMUSG00000021065.15,4.893715204139738e-216
ENSMUSG00000030560.17,6.982501029482141e-215
ENSMUSG00000052544.9,1.0252005842277706e-214
ENSMUSG00000064345.1,1.8981612425557894e-213
ENSMUSG00000039145.16,5.4619221005474756e-213
ENSMUSG00000021709.14,7.919608190351793e-213
ENSMUSG00000037685.15,1.6266751696111461e-211
ENSMUSG00000035247.15,1.7979060604893147e-211
ENSMUSG00000040430.18,1.783873640711738e-209
ENSMUSG00000028906.16,2.654318805013201e-209
ENSMUSG00000028465.16,3.0825739471293485e-209
ENSMUSG00000026786.14,9.782499167508616e-208
ENSMUSG00000030671.9,9.782499167508616e-208
ENSMUSG00000042228.14,1.7017493476304783e-205
ENSMUSG00000022021.13,1.3193570104619378e-203
ENSMUSG00000061143.15,4.602309167995683e-203
ENSMUSG00000026712.3,2.246536394792258e-202
ENSMUSG00000025217.14,1.2360895838135468e-201
ENSMUSG00000028161.17,8.366918439601043e-201
ENSMUSG00000036006.19,1.3874396253736897e-200
ENSMUSG00000037940.17,2.4319206017209956e-199
ENSMUSG00000000861.15,2.985315558879987e-199
ENSMUSG00000001542.6,4.518805931459366e-199
ENSMUSG00000061751.15,3.17698322684374e-198
ENSMUSG00000004508.6,7.591968464007988e-198
ENSMUSG00000024867.14,1.2641478637864057e-197
ENSMUSG00000024456.16,5.315315062191121e-197
ENSMUSG00000063873.10,2.835832184023889e-196
ENSMUSG00000028159.14,3.7939366150286087e-196
ENSMUSG00000001986.16,8.509057817927112e-196
ENSMUSG00000001986.16,8.255558032202977e-194
ENSMUSG00000061436.15,1.1946187336986083e-193
ENSMUSG00000061751.15,2.0694571947343166e-193
ENSMUSG00000028161.17,3.180365685054593e-193
ENSMUSG00000054641.10,1.5808425043849843e-192
ENSMUSG00000054641.10,2.353794676120839e-192
ENSMUSG00000006678.6,2.5487901597313873e-192
ENSMUSG00000021423.5,3.0691580636080955e-192
ENSMUSG00000063458.12,1.63779567323541e-191
ENSMUSG00000027111.15,5.205252406220985e-191
ENSMUSG00000021709.14,5.210171761486141e-191
ENSMUSG00000021061.15,3.6792119881278096e-188
ENSMUSG00000097039.8,8.557644846159368e-188
ENSMUSG00000092341.2,3.349586185842439e-187
ENSMUSG00000029580.14,7.069594754266024e-187
ENSMUSG00000073940.3,2.0594080137791936e-186
ENSMUSG00000027111.15,3.1090819168616557e-186
ENSMUSG00000060429.11,4.459433458096453e-186
