gene,padj
ENSMUSG00000064337.1,1.226969005367612e-306
ENSMUSG00000004698.10,2.1094460224183815e-305
ENSMUSG00000022309.8,8.8236201885895465e-304
ENSMUSG00000037926.15,7.247660842373861e-301
ENSMUSG00000021699.17,2.6252559229871546e-300
ENSMUSG00000002985.16,9.189054462802765e-300
ENSMUSG00000090386.9,1.814462117248037e-299
ENSMUSG00000062078.14,2.1376759303892546e-298
ENSMUSG00000028159.14,3.7294438944407632e-298
ENSMUSG00000029925.13,7.535387844930103e-298
ENSMUSG00000017376.15,9.207248538392609e-297
ENSMUSG00000021939.7,9.30767297856227e-297
ENSMUSG00000092341.2,1.1948603815380058e-296
ENSMUSG00000064210.6,5.603848441871024e-295
ENSMUSG00000039197.9,1.2928500996065816e-294
ENSMUSG00000053819.16,2.581192807148254e-292
ENSMUSG00000006586.15,2.359264881298429e-290
ENSMUSG00000028465.16,6.400322630874537e-289
ENSMUSG00000053819.16,7.557109674864652e-288
ENSMUSG00000022952.16,7.967289138699659e-286
ENSMUSG00000029372.7,1.723663557077431e-285
ENSMUSG00000002985.16,2.0428175091964974e-283
ENSMUSG00000026737.12,3.3413939164171947e-282
ENSMUSG00000038679.16,3.1729538169110246e-281
ENSMUSG00000052336.7,4.2222600391258463e-281
ENSMUSG00000021725.8,3.9773582372254677e-280
ENSMUSG00000034663.13,1.0184373601471784e-278
ENSMUSG00000028465.16,1.4010621245615205e-278
ENSMUSG00000064339.1,1.4057776619225123e-278
ENSMUSG00000023926.7,2.6453696330709707e-278
ENSMUSG00000021725.8,3.786399877405041e-276
ENSMUSG00000027784.10,2.7731769806611786e-275
ENSMUSG00000024639.5,3.963506050329616e-275
ENSMUSG00000005611.15,8.20917251832819e-274
ENSMUSG00000053965.10,2.6241601625739054e-271
ENSMUSG00000034663.13,1.305234578673134e-270
ENSMUSG00000001930.17,6.7026116670030666e-270
ENSMUSG00000026727.10,1.6523330077735107e-269
ENSMUSG00000052336.7,4.0737272373044793e-269
ENSMUSG00000039087.16,8.86946957686744e-269
ENSMUSG00000037685.15,2.1552336065306337e-268
ENSMUSG00000052331.14,6.399045096876265e-268
ENSMUSG00000040274.11,8.781028982954837e-266
ENSMUSG00000038267.14,1.5046806265575838e-265
ENSMUSG00000036006.19,2.4870610631327135e-265
ENSMUSG00000001930.17,3.6600538720641e-265
ENSMUSG00000020176.17,9.458099857788605e-264
ENSMUSG00000031543.18,4.801973040068883e-262
ENSMUSG00000022377.16,2.1833409171731036e-261
ENSMUSG00000064210.6,1.6433980667281036e-260
