,gene_name,class,score
0,Tnrc6b,Definitive erythroid trajectory,73.47512102685853
1,Fbxo34,Definitive erythroid trajectory,77.62906649705367
2,4933416M06Rik,Definitive erythroid trajectory,87.7943854151042
3,Top1,Definitive erythroid trajectory,91.65709465715842
4,Cpeb4,Definitive erythroid trajectory,105.14707812299862
5,Bpgm,Definitive erythroid trajectory,134.1100928256413
6,Fars2,Definitive erythroid trajectory,147.12934853485342
7,Pabpc1,Definitive erythroid trajectory,108.35140440187946
8,Shld1,Definitive erythroid trajectory,118.17373114522877
9,Ube2o,Definitive erythroid trajectory,194.12304441609172
10,Ikzf1,White blood cell trajectory,37.388494258942984
11,Jun,White blood cell trajectory,44.173969263919055
12,Cd47,White blood cell trajectory,37.542198213337464
13,Pecam1,White blood cell trajectory,50.843657758812824
14,Zfp36,White blood cell trajectory,50.80248850841592
15,Dleu2,White blood cell trajectory,52.5290840106406
16,Sik3,White blood cell trajectory,62.5777329222515
17,Irf2bp2,White blood cell trajectory,65.12147584075869
18,Zeb2,White blood cell trajectory,69.83233447040888
19,Iqgap1,White blood cell trajectory,65.44129696907032
20,Ikzf1,primitive erythroid trajectory,83.49679846320022
21,Lpcat1,primitive erythroid trajectory,106.05486200198003
22,Hs6st1,primitive erythroid trajectory,107.77370741613468
23,Klf13,primitive erythroid trajectory,143.9194966504336
24,Gfi1b,primitive erythroid trajectory,140.72453067274958
25,Dleu2,primitive erythroid trajectory,124.86903863765527
26,Atp2b4,primitive erythroid trajectory,124.71878674268838
27,Arhgap23,primitive erythroid trajectory,157.87628010968257
28,Klf3,primitive erythroid trajectory,182.87194775966137
29,Ank1,primitive erythroid trajectory,170.88367737613586
30,Atp2b4,Megakaryocyte trajectory,0.1649449503387959
31,Sik3,Megakaryocyte trajectory,0.1832112823344533
32,Ank,Megakaryocyte trajectory,0.26699253195893724
33,Galnt2,Megakaryocyte trajectory,1.4210705005705302
34,Mir3084-2,Megakaryocyte trajectory,0.5257193495820774
35,Rabgap1l,Megakaryocyte trajectory,0.2011309390973864
36,Gm7854,Megakaryocyte trajectory,0.1813783860681997
37,Vav3,Megakaryocyte trajectory,0.33956478681492197
38,Zeb2,Megakaryocyte trajectory,0.3350243948020349
39,Kit,Megakaryocyte trajectory,0.17696885918875654
