Barcode,Celltype,Trajectory
scATAC_Eye_E13_5_BC18842_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19864_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21009_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17791_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC09344_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20153_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19464_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19792_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC16916_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC16661_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC16795_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17845_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18564_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20649_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21121_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18620_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18647_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18837_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18033_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17534_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19307_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17980_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC12492_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18767_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19812_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19375_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18050_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18232_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20113_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20480_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC16091_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21275_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17493_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19341_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18499_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC20154_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20891_N02,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC15849_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18476_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20073_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20927_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19901_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18490_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19187_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19595_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19745_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20749_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC16865_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20118_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19646_N01,G04=18.0:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC20822_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC14200_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19295_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19207_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19434_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC16483_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC12045_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18373_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21192_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21370_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC14906_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18224_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20869_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC12006_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC21270_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20657_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19700_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC19344_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19117_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21448_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20067_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19952_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18291_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19248_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17723_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC13878_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC20608_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17543_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19654_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC12899_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC21002_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
